lat,lon,mag,time,t
-30.7106,-71.4883,4.2,2015-10-04 17:58:13,317079.0
-30.2671,-71.7108,4.2,2015-10-04 18:21:53,318499.0
12.7868,-88.2071,4.4,2015-10-04 21:29:02,329728.0
18.1608,-68.5008,3.8,2015-10-04 23:14:55,336081.0
18.1872,-67.6877,3.0,2015-10-05 01:48:00,345266.0
-31.7828,-71.6072,3.9,2015-10-05 02:02:51,346157.0
16.8517,-95.7622,4.0,2015-10-05 02:40:53,348439.0
-31.7308,-71.9781,4.3,2015-10-05 05:04:56,357082.0
-35.5274,-104.2397,4.8,2015-10-05 05:59:02,360328.0
17.9867,-65.4572,2.1,2015-10-05 06:22:49,361755.0
-15.7,-74.03,4.2,2015-10-05 10:00:01,374787.0
19.1802,-64.5077,3.4,2015-10-05 13:25:32,387118.0
-30.3035,-71.5318,5.9,2015-10-05 16:33:26,398392.0
-31.0879,-72.7469,4.6,2015-10-05 17:30:53,401839.0
-24.1512,-67.3024,4.1,2015-10-05 19:51:59,410305.0
17.919,-67.1305,2.6,2015-10-05 21:15:58,415344.0
-32.123000000000005,-71.751,4.2,2015-10-05 21:51:38,417484.0
-32.082,-71.795,4.2,2015-10-05 21:58:16,417882.0
-31.6899,-72.0962,4.2,2015-10-06 02:00:57,432443.0
7.3755,-36.1333,4.6,2015-10-06 03:48:15,438881.0
18.7397,-64.3655,2.2,2015-10-06 04:00:03,439589.0
18.7341,-64.3551,2.9,2015-10-06 04:00:59,439645.0
-30.2554,-72.0994,4.7,2015-10-06 04:51:45,442691.0
18.8976,-65.1682,2.9,2015-10-06 05:03:39,443405.0
18.1217,-67.315,2.4,2015-10-06 05:08:17,443683.0
18.3658,-65.5644,1.8,2015-10-06 05:37:56,445462.0
18.51,-104.571,4.1,2015-10-06 05:39:07,445533.0
11.3695,-87.0252,4.5,2015-10-06 06:02:54,446960.0
-25.21,-70.192,4.3,2015-10-06 06:07:32,447238.0
12.1177,-88.9955,5.1,2015-10-06 09:21:23,458869.0
17.941,-67.1731,2.7,2015-10-06 09:42:14,460120.0
-31.432,-71.4573,4.7,2015-10-06 10:47:33,464039.0
-30.3789,-71.8161,4.1,2015-10-06 12:59:39,471965.0
-30.3927,-71.9603,4.2,2015-10-06 13:09:03,472529.0
-31.6888,-71.9677,4.1,2015-10-06 13:52:35,475141.0
-20.003,-70.9795,4.2,2015-10-06 16:41:32,485278.0
-30.8438,-71.4938,4.7,2015-10-06 22:48:33,507299.0
18.889,-64.2565,2.6,2015-10-07 01:08:26,515692.0
-30.3816,-72.0691,4.2,2015-10-07 02:12:25,519531.0
-3.932,-104.1362,5.4,2015-10-07 02:30:21,520607.0
-4.0507,-104.3905,4.5,2015-10-07 02:49:31,521757.0
-30.8207,-71.4446,4.5,2015-10-07 03:02:10,522516.0
18.27,-65.3655,2.8,2015-10-07 03:09:31,522957.0
18.694000000000003,-65.1408,2.5,2015-10-07 03:31:55,524301.0
18.158,-67.1102,1.8,2015-10-07 04:13:44,526810.0
-30.3764,-72.1749,4.1,2015-10-07 04:45:54,528740.0
17.85,-66.165,2.0,2015-10-07 04:47:04,528810.0
-17.7468,-69.7891,4.8,2015-10-07 05:59:13,533139.0
16.2342,-98.2004,4.3,2015-10-07 06:41:36,535682.0
-21.4172,-66.8022,4.4,2015-10-07 07:07:20,537226.0
-30.3022,-72.1414,4.2,2015-10-07 07:29:02,538528.0
-30.2971,-71.3616,4.8,2015-10-07 08:00:39,540425.0
18.1672,-67.09899999999999,2.3,2015-10-07 08:39:57,542783.0
14.577,-94.5473,4.1,2015-10-07 09:08:37,544503.0
-31.4877,-71.7728,4.5,2015-10-07 12:34:36,556862.0
-31.8261,-72.4314,4.2,2015-10-07 13:06:42,558788.0
18.9104,-64.3107,2.5,2015-10-07 14:18:54,563120.0
6.8568,-73.024,4.1,2015-10-07 14:35:47,564133.0
-30.8102,-71.4315,4.5,2015-10-07 19:35:16,582102.0
19.6655,-64.3407,3.2,2015-10-07 21:01:58,587304.0
17.9074,-65.6845,1.9,2015-10-07 21:04:10,587436.0
-21.97,-69.928,3.9,2015-10-07 22:14:27,591653.0
-31.6195,-72.3947,4.1,2015-10-07 23:43:11,596977.0
15.8047,-95.9373,4.3,2015-10-08 00:15:31,598917.0
18.7605,-66.8871,2.9,2015-10-08 01:56:07,604953.0
19.423,-66.2918,3.2,2015-10-08 02:30:25,607011.0
-23.9928,-69.1547,4.5,2015-10-08 02:42:24,607730.0
-30.3382,-71.9937,4.1,2015-10-08 02:54:18,608444.0
18.6497,-64.7611,3.0,2015-10-08 03:10:33,609419.0
-30.6725,-71.7478,4.3,2015-10-08 07:22:46,624552.0
19.4244,-66.0658,3.4,2015-10-08 08:21:35,628081.0
-30.7116,-71.6621,4.1,2015-10-08 08:46:14,629560.0
18.4361,-67.4466,2.6,2015-10-08 10:02:41,634147.0
18.2695,-66.13600000000001,2.3,2015-10-08 14:54:02,651628.0
17.9071,-67.1072,1.9,2015-10-08 17:20:16,660402.0
-17.4579,-71.9286,4.6,2015-10-08 20:04:37,670263.0
17.6457,-65.6333,2.7,2015-10-08 20:20:42,671228.0
18.6061,-66.7509,2.6,2015-10-09 00:05:29,684715.0
17.9377,-66.9048,2.3,2015-10-09 01:31:28,689874.0
-57.4121,-24.7532,5.0,2015-10-09 02:33:33,693599.0
19.0182,-65.3592,3.2,2015-10-09 03:52:21,698327.0
-15.9943,-69.7699,4.6,2015-10-09 04:09:35,699361.0
17.9207,-66.8884,2.5,2015-10-09 05:54:09,705635.0
-30.8494,-71.5687,4.6,2015-10-09 06:08:55,706521.0
-31.5296,-71.4782,4.0,2015-10-09 06:52:34,709140.0
-31.0489,-71.2989,4.4,2015-10-09 08:20:39,714425.0
-30.578000000000003,-72.3973,4.3,2015-10-09 10:38:22,722688.0
-2.4263,-79.5858,4.5,2015-10-09 11:47:02,726808.0
-30.136999999999997,-72.1387,4.3,2015-10-09 12:45:39,730325.0
-8.0706,-79.1971,4.0,2015-10-09 17:08:55,746121.0
-31.7323,-71.7325,5.5,2015-10-09 18:27:36,750842.0
17.836,-65.5558,2.4,2015-10-09 18:46:44,751990.0
-31.7373,-72.2605,4.1,2015-10-09 19:34:09,754835.0
-30.607,-71.399,4.1,2015-10-09 22:18:19,764685.0
18.4664,-66.247,2.7,2015-10-10 01:36:43,776589.0
-22.9691,-66.4436,4.6,2015-10-10 05:06:28,789174.0
15.7923,-94.7221,4.2,2015-10-10 05:25:27,790313.0
-24.4242,-67.0143,4.9,2015-10-10 06:00:23,792409.0
18.2145,-67.3874,2.5,2015-10-10 07:50:07,798993.0
17.863,-67.18,1.8,2015-10-10 08:44:29,802255.0
-30.6505,-72.1357,4.5,2015-10-10 08:58:37,803103.0
18.811,-64.83800000000001,3.1,2015-10-10 09:12:46,803952.0
17.8603,-67.18,2.1,2015-10-10 10:39:52,809178.0
18.9645,-64.8841,3.0,2015-10-10 12:18:09,815075.0
-30.52,-71.558,4.2,2015-10-10 13:16:34,818580.0
-31.77,-71.654,4.1,2015-10-10 14:26:04,822750.0
18.6534,-66.4954,2.4,2015-10-10 17:13:16,832782.0
18.7814,-64.2117,2.3,2015-10-10 19:33:29,841195.0
-30.3478,-72.6171,4.4,2015-10-10 23:08:24,854090.0
-55.1568,-28.301,4.6,2015-10-10 23:35:24,855710.0
18.8346,-65.0006,2.6,2015-10-11 00:16:12,858158.0
18.1429,-67.2659,2.4,2015-10-11 00:26:58,858804.0
-30.7276,-71.4836,4.6,2015-10-11 02:33:32,866398.0
19.354,-65.7133,3.0,2015-10-11 02:43:35,867001.0
18.8934,-65.468,3.0,2015-10-11 04:14:27,872453.0
19.1448,-66.4785,3.3,2015-10-11 08:33:50,888016.0
16.5627,-62.4367,4.1,2015-10-11 10:15:19,894105.0
18.1425,-67.3425,2.4,2015-10-11 13:13:40,904806.0
-31.3907,-69.2462,4.2,2015-10-11 13:59:24,907550.0
18.6025,-64.0436,2.7,2015-10-11 15:47:14,914020.0
-30.631,-71.8858,4.6,2015-10-11 16:54:58,918084.0
17.9424,-66.8961,2.1,2015-10-11 18:04:42,922268.0
-28.05,-66.3784,4.2,2015-10-11 21:22:17,934123.0
-30.7119,-71.3982,4.7,2015-10-11 21:23:44,934210.0
17.465999999999998,-94.8199,4.3,2015-10-11 23:06:22,940368.0
16.3928,-100.2169,4.1,2015-10-11 23:46:25,942771.0
18.8076,-64.249,2.8,2015-10-12 00:29:44,945370.0
18.2278,-67.2135,2.8,2015-10-12 00:45:43,946329.0
-30.7384,-71.5254,4.2,2015-10-12 01:46:46,949992.0
-25.4308,-69.2815,4.1,2015-10-12 02:25:43,952329.0
17.9946,-66.855,1.5,2015-10-12 02:26:14,952360.0
-32.114000000000004,-71.78,4.1,2015-10-12 02:59:05,954331.0
-31.1849,-71.8227,5.6,2015-10-12 03:15:19,955305.0
-31.1866,-71.8325,5.0,2015-10-12 03:31:32,956278.0
-13.9,-76.19,4.3,2015-10-12 04:16:09,958955.0
-23.9547,-67.0225,4.0,2015-10-12 04:26:49,959595.0
7.5362,-77.476,5.2,2015-10-12 04:35:40,960126.0
-31.569000000000003,-65.11399999999999,3.1,2015-10-12 04:36:45,960191.0
-31.186,-71.735,4.0,2015-10-12 04:50:18,961004.0
