time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-10-02T08:03:57.100Z,18.0394,-65.3981,19,2.8,Md,6,165.6,0.15720517,0.1,pr,pr15275006,2016-01-04T22:28:43.040Z,"9km SE of Esperanza, Puerto Rico",earthquake,0.7,0.4,0,5,reviewed,pr,pr
2015-10-02T08:12:14.300Z,18.0412,-65.397,18,2.9,Md,6,147.6,0.15810349,0.11,pr,pr15275007,2016-01-04T22:28:43.040Z,"9km SE of Esperanza, Puerto Rico",earthquake,0.8,0.4,0,5,reviewed,pr,pr
2015-10-02T08:13:01.410Z,-31.8131,-72.8192,5.15,4.4,mb,,157,1.522,0.76,us,us10003jqb,2016-01-04T22:28:44.040Z,"158km W of Illapel, Chile",earthquake,6.8,4.7,0.162,11,reviewed,us,us
2015-10-02T08:28:07.000Z,-36.6214,-71.474,92.87,4.6,mb,,117,0.857,0.92,us,us10003jqi,2016-01-04T22:28:44.040Z,"32km E of Coihueco, Chile",earthquake,6.8,7.1,0.126,19,reviewed,us,us
2015-10-02T08:40:05.870Z,-30.6825,-71.6204,21.3,4.4,mb,,121,0.015,0.66,us,us10003jqj,2016-01-04T22:28:44.040Z,"41km WSW of Ovalle, Chile",earthquake,7.5,6.7,0.31,3,reviewed,us,us
2015-10-02T08:52:17.400Z,18.0279,-65.3916,17,2.8,Md,6,169.2,0.16798496,0.07,pr,pr15275008,2016-01-04T22:28:44.040Z,"11km SE of Esperanza, Puerto Rico",earthquake,0.8,1,0,4,reviewed,pr,pr
2015-10-02T09:15:36.200Z,19.0252,-66.1771,10,2.8,Md,8,255.6,0.86777256,0.38,pr,pr15275009,2016-01-04T22:28:44.040Z,"62km N of San Juan, Puerto Rico",earthquake,3.9,5.4,0,5,reviewed,pr,pr
2015-10-02T10:05:24.100Z,18.031,-65.388,13,3.1,Md,13,147.6,0.16888327,0.25,pr,pr15275005,2016-01-04T22:28:44.040Z,"11km SE of Esperanza, Puerto Rico",earthquake,0.6,0.8,0,11,reviewed,pr,pr
2015-10-02T11:01:27.440Z,13.2629,-89.1194,67.73,4.3,mb,,115,0.435,1,us,us10003jr1,2016-01-04T22:28:45.040Z,"27km SSW of El Rosario, El Salvador",earthquake,6.8,8,0.068,61,reviewed,us,us
2015-10-02T13:35:04.600Z,18.4298,-66.2519,116,3.4,Md,21,169.2,0.19942599,0.27,pr,pr15275010,2016-01-04T22:28:46.040Z,"1km WNW of Campanilla, Puerto Rico",earthquake,1.8,0.9,0,17,reviewed,pr,pr
2015-10-02T14:09:05.090Z,-56.1853,-27.4579,114.12,4.4,mb,,114,5.507,0.6,us,us10003na4,2016-01-04T22:28:46.040Z,"59km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,15.5,10.8,0.143,14,reviewed,us,us
2015-10-02T14:48:16.390Z,-32.0201,-71.948,35,4.5,mb,,175,1.033,0.76,us,us10003jry,2016-01-04T22:28:46.040Z,"82km NW of La Ligua, Chile",earthquake,6.8,2,0.221,6,reviewed,us,us
